Province/State,Country/Region,Lat,Long,January ,Feb,March,April,May,June,July
,Afghanistan,33.93911,67.709953,0,1,174,2171,15205,31517,36675
,Albania,41.1533,20.1683,0,0,243,773,1137,2535,5276
,Algeria,28.0339,1.6596,0,1,716,4006,9394,13907,30394
,Andorra,42.5063,1.5218,0,0,376,745,764,855,925
,Angola,-11.2027,17.8739,0,0,7,27,86,284,1148
,Antigua and Barbuda,17.0608,-61.7964,0,0,7,24,26,69,91
,Argentina,-38.4161,-63.6167,0,0,1054,4428,16851,64530,191302
,Armenia,40.0691,45.0382,0,0,532,2066,9282,25542,38550
Australian Capital Territory,Australia,-35.4735,149.0124,0,0,80,106,107,108,113
New South Wales,Australia,-33.8688,151.2093,4,4,2032,3025,3098,3203,3773
Northern Territory,Australia,-12.4634,130.8456,0,0,17,28,29,29,33
Queensland,Australia,-27.4698,153.0251,2,9,743,1033,1058,1067,1084
South Australia,Australia,-34.9285,138.6007,0,3,337,438,440,443,451
Tasmania,Australia,-42.8821,147.3272,0,0,69,221,228,228,229
Victoria,Australia,-37.8136,144.9631,3,7,917,1364,1653,2231,10931
Western Australia,Australia,-31.9505,115.8605,0,2,364,551,589,611,666
,Austria,47.5162,14.5501,0,9,10180,15452,16731,17766,21130
,Azerbaijan,40.1431,47.5769,0,0,298,1804,5494,17524,31878
,Bahamas,25.025885,-78.035889,0,0,14,81,102,104,574
,Bahrain,26.0275,50.55,0,41,567,3040,11398,26758,40982
,Bangladesh,23.685,90.3563,0,0,51,7667,47153,145483,237661
,Barbados,13.1939,-59.5432,0,0,34,81,92,97,110
,Belarus,53.7098,27.9534,0,1,152,14027,42556,62118,67808
,Belgium,50.8333,4.469936,0,1,12775,48519,58381,61427,68751
,Benin,9.3077,2.3158,0,0,9,64,232,1199,1805
,Bhutan,27.5142,90.4336,0,0,4,7,43,77,101
,Bolivia,-16.2902,-63.5887,0,0,107,1167,9982,33219,76789
,Bosnia and Herzegovina,43.9159,17.6791,0,0,420,1757,2510,4453,11876
,Brazil,-14.235,-51.9253,0,2,5717,87187,514849,1402041,2662485
,Brunei,4.5353,114.7277,0,0,129,138,141,141,141
,Bulgaria,42.7339,25.4858,0,0,399,1506,2513,4989,11690
,Burkina Faso,12.2383,-1.5616,0,0,261,645,847,962,1106
,Cabo Verde,16.5388,-23.0418,0,0,6,121,435,1227,2451
,Cambodia,11.55,104.9167,1,1,109,122,125,141,239
,Cameroon,3.848,11.5021,0,0,193,1832,5904,12592,17255
Alberta,Canada,53.9333,-116.5765,0,0,690,5355,7010,8108,10843
British Columbia,Canada,53.7267,-127.6476,1,8,1013,2112,2573,2916,3641
Grand Princess,Canada,0,0,0,0,13,13,13,13,13
Manitoba,Canada,53.7609,-98.8139,0,0,103,277,295,325,415
New Brunswick,Canada,46.5653,-66.4619,0,0,70,118,132,165,170
Newfoundland and Labrador,Canada,53.1355,-57.6604,0,0,152,258,261,261,266
Nova Scotia,Canada,44.682,-63.7443,0,0,147,947,1056,1062,1069
Ontario,Canada,51.2538,-85.3232,3,11,1966,17395,29390,36961,41178
Prince Edward Island,Canada,46.5107,-63.4168,0,0,21,27,27,27,36
