Province/State,Country/Region,Lat,Long,Jan,Feb,Mar,April,May,June,July
,Afghanistan,33.93911,67.709953,0,0,4,64,257,746,1272
,Albania,41.1533,20.1683,0,0,15,31,33,62,157
,Algeria,28.0339,1.6596,0,0,44,450,653,912,1210
,Andorra,42.5063,1.5218,0,0,12,42,51,52,52
,Angola,-11.2027,17.8739,0,0,2,2,4,13,52
,Antigua and Barbuda,17.0608,-61.7964,0,0,0,3,3,3,3
,Argentina,-38.4161,-63.6167,0,0,27,218,539,1307,3543
,Armenia,40.0691,45.0382,0,0,3,32,131,443,738
Australian Capital Territory,Australia,-35.4735,149.0124,0,0,1,3,3,3,3
New South Wales,Australia,-33.8688,151.2093,0,0,8,41,48,49,50
Northern Territory,Australia,-12.4634,130.8456,0,0,0,0,0,0,0
Queensland,Australia,-27.4698,153.0251,0,0,2,6,7,6,6
South Australia,Australia,-34.9285,138.6007,0,0,0,4,4,4,4
Tasmania,Australia,-42.8821,147.3272,0,0,1,13,13,13,13
Victoria,Australia,-37.8136,144.9631,0,0,4,18,19,20,116
Western Australia,Australia,-31.9505,115.8605,0,0,2,8,9,9,9
,Austria,47.5162,14.5501,0,0,128,584,668,705,718
,Azerbaijan,40.1431,47.5769,0,0,5,24,63,213,448
,Bahamas,25.025885,-78.035889,0,0,0,11,11,11,14
,Bahrain,26.0275,50.55,0,0,4,8,19,87,147
,Bangladesh,23.685,90.3563,0,0,5,168,650,1847,3111
,Barbados,13.1939,-59.5432,0,0,0,7,7,7,7
,Belarus,53.7098,27.9534,0,0,1,89,235,392,559
,Belgium,50.8333,4.469936,0,0,705,7594,9467,9747,9841
,Benin,9.3077,2.3158,0,0,0,1,3,21,36
,Bhutan,27.5142,90.4336,0,0,0,0,0,0,0
,Bolivia,-16.2902,-63.5887,0,0,6,62,313,1123,2977
,Bosnia and Herzegovina,43.9159,17.6791,0,0,13,69,153,186,339
,Brazil,-14.235,-51.9253,0,0,201,6006,29314,59594,92475
,Brunei,4.5353,114.7277,0,0,1,1,2,3,3
,Bulgaria,42.7339,25.4858,0,0,8,66,140,230,383
,Burkina Faso,12.2383,-1.5616,0,0,14,43,53,53,53
,Cabo Verde,16.5388,-23.0418,0,0,1,1,4,15,23
,Cambodia,11.55,104.9167,0,0,0,0,0,0,0
,Cameroon,3.848,11.5021,0,0,6,61,191,313,391
Alberta,Canada,53.9333,-116.5765,0,0,8,90,143,154,196
British Columbia,Canada,53.7267,-127.6476,0,0,24,111,164,174,195
Grand Princess,Canada,0,0,0,0,0,0,0,0,0
Manitoba,Canada,53.7609,-98.8139,0,0,1,6,7,7,8
New Brunswick,Canada,46.5653,-66.4619,0,0,0,0,0,2,2
Newfoundland and Labrador,Canada,53.1355,-57.6604,0,0,1,3,3,3,3
Nova Scotia,Canada,44.682,-63.7443,0,0,0,28,60,63,64
Ontario,Canada,51.2538,-85.3232,0,0,33,1205,2344,2730,2819
