Province/State,Country/Region,Lat,Long,7/31/2020
,Afghanistan,33.93911,67.709953,25509
,Albania,41.1533,20.1683,2952
,Algeria,28.0339,1.6596,20537
,Andorra,42.5063,1.5218,807
,Angola,-11.2027,17.8739,437
,Antigua and Barbuda,17.0608,-61.7964,67
,Argentina,-38.4161,-63.6167,83780
,Armenia,40.0691,45.0382,28997
Australian Capital Territory,Australia,-35.4735,149.0124,110
New South Wales,Australia,-33.8688,151.2093,2989
Northern Territory,Australia,-12.4634,130.8456,30
Queensland,Australia,-27.4698,153.0251,1066
South Australia,Australia,-34.9285,138.6007,443
Tasmania,Australia,-42.8821,147.3272,216
Victoria,Australia,-37.8136,144.9631,4479
Western Australia,Australia,-31.9505,115.8605,650
,Austria,47.5162,14.5501,18758
,Azerbaijan,40.1431,47.5769,25882
,Bahamas,25.025885,-78.035889,91
,Bahrain,26.0275,50.55,37840
,Bangladesh,23.685,90.3563,135136
,Barbados,13.1939,-59.5432,96
,Belarus,53.7098,27.9534,62444
,Belgium,50.8333,4.469936,17546
,Belize,17.1899,-88.4976,30
,Benin,9.3077,2.3158,1036
,Bhutan,27.5142,90.4336,89
,Bolivia,-16.2902,-63.5887,23582
,Bosnia and Herzegovina,43.9159,17.6791,5959
,Brazil,-14.235,-51.9253,2008854
,Brunei,4.5353,114.7277,138
,Bulgaria,42.7339,25.4858,6319
,Burkina Faso,12.2383,-1.5616,935
,Cabo Verde,16.5388,-23.0418,1824
,Cambodia,11.55,104.9167,164
,Cameroon,3.848,11.5021,15320
,Canada,56.1304,-106.3468,102906
,Central African Republic,6.6111,20.9394,1606
,Chad,15.4542,18.7322,813
,Chile,-35.6751,-71.543,328327
Anhui,China,31.8257,117.2264,985
Beijing,China,40.1824,116.4142,915
Chongqing,China,30.0572,107.874,577
Fujian,China,26.0789,117.9874,363
Gansu,China,35.7518,104.2861,165
Guangdong,China,23.3417,113.4244,1653
Guangxi,China,23.8298,108.7881,253
Guizhou,China,26.8154,106.8748,145
Hainan,China,19.1959,109.7453,165
Hebei,China,37.8957,114.9042,343
Heilongjiang,China,47.862,127.7615,934
Henan,China,33.882,113.614,1254
